school,date,headline,author,url,Main topic,Section,Primary purpose,Scope,Student sources,Non-student sources,Controversial topics?,Dissenting voices (2+ opinions) (1=yes 2=maybe 3=no),Word count,Tags
CS Press,2021-11-05,Advances in North Korea’s missile program surface,Hudson Ellis,https://cactusshadowscspress.com/news/2021/11/05/advances-in-north-koreas-missile-program-surface/,Reactions to broader politics/events,News,Promote discourse,State/national/world,2,0,Yes (probably no because it wouldn't be censored) ,3,393,"North Korea, diplomacy, politics"
CS Press,2021-11-05,"With Merkel out, Germany alters course",Hudson Ellis,https://cactusshadowscspress.com/news/2021/11/05/with-merkel-out-germany-alters-course/,Reactions to broader politics/events,News,Promote discourse,State/national/world,3,1,No,3,429,"Germany, election"
CS Press,2021-11-05,Most districts do not enforce mask mandates in Arizona,Jordan Kern,https://cactusshadowscspress.com/news/2021/11/05/most-districts-do-not-enforce-mask-mandates-in-arizona/,School policy/administration,News,Inform / Promote discourse,Local,1,1,Yes,2,314,"Masks, COVID-19, school board"
CS Press,2021-11-05,Honors language programs under budget stress,Johnathan Geare,https://cactusshadowscspress.com/news/2021/11/05/honors-language-programs-under-budget-stress/,School policy/administration,News,Inform,School,2,1,Yes,3,434,"School budget, clubs, curriculum, school finance"
CS Press,2021-11-05,Teachers get grants from the Falcon Foundation delivered to their rooms,Cait Bunkers,https://cactusshadowscspress.com/news/2021/11/05/teachers-get-grants-from-the-falcon-foundation-delivered-to-their-rooms/,Community life,News,Inform,School,2,1,No,3,322,"Accomplishment, grants, teachers"
CS Press,2021-11-05,Missing vlogger Gabby Petito body found,Sarah Love,https://cactusshadowscspress.com/news/2021/11/05/missing-vlogger-gabby-petito-body-found/,Reactions to broader politics/events,News,Promote discourse,State/national/world,2,1,Yes,3,330,"Police, murder, Gabby Petito, social media, violence"
CS Press,2021-11-05,Environmental Club works on greening school campus,Katelyn Pinkham,https://cactusshadowscspress.com/news/2021/11/05/environmental-club-works-on-greening-school-campus/,Community life,News,Spread awareness,School,2,1,No,3,481,"Club, environment, extracurricular"
CS Press,2021-11-05,Bomb threat response causes concern,Chris Alexander,https://cactusshadowscspress.com/news/2021/11/05/bomb-threat-response-causes-concern/,Threats to student safety,News,Inform,School,2,2,Yes,3,344,"Bomb threat, lockdown, student safety, explosive, violence"
CS Press,2021-11-05,Supreme Court takes on Texas laws,Claire Geare,https://cactusshadowscspress.com/news/2021/11/05/supreme-court-takes-on-texas-laws/,Socio-political issues,News,Promote discourse,State/national/world,2,1,Yes,1,602,"Abortion, Supreme Court, gender, pregnancy, sex"
CS Press,2021-11-05,The battle for the bond,Cait Bunkers,https://cactusshadowscspress.com/news/2021/11/05/the-battle-for-the-bond/,School policy/administration,News,Inform,Local,1,2,No,3,425,"School finances, school funding"
CS Press,2021-10-06,Earthquake ravages Haiti once again,Jacob Godicz,https://cactusshadowscspress.com/news/2021/10/06/earthquake-ravages-haiti-once-again/,Reactions to broader politics/events,News,Spread awareness,State/national/world,2,0,No ,3,348,"Haiti, earthquake, natural disaster"
CS Press,2021-10-06,U.S. withdrawal from Afghanistan ends ‘Forever War’,Max Hancock,https://cactusshadowscspress.com/news/2021/10/06/u-s-withdrawal-from-afghanistan-ends-forever-war/,Reactions to broader politics/events,News,Promote discourse,State/national/world,1,0,Yes,3,368,"Afghanistan, war, politics, violence"
CS Press,2021-10-06,Joker’s Improv makes its mark with the first show of the school year,Livia Lowe,https://cactusshadowscspress.com/news/2021/10/06/jokers-improv-makes-its-mark-with-the-first-show-of-the-school-year/,Community life,News,Spread awareness,School,2,1,No,3,450,"Arts, club, improv, extracurricular"
CS Press,2021-10-06,Key Club provides volunteer opportunities for students,Peyton Marinelli,https://cactusshadowscspress.com/news/2021/10/06/key-club-provides-volunteer-opportunities-for-students/,Community life,News,Spread awareness,School,2,1,No,3,316,"Club, extracurricular, volunteering, community"
